userName,HourOfDay,MaxIntensity,SumIntensity,AvgIntensity
User09,20,129,705,24.3
User09,21,76,270,9.3
User09,22,49,174,6.0
User09,23,8,37,1.3
User10,0,29,50,1.9
User10,1,1,1,0.0
User10,2,6,7,0.3
User10,3,0,0,0.0
User10,4,3,4,0.2
User10,5,70,70,2.7
User10,6,79,117,4.5
User10,7,65,130,5.0
User10,8,74,287,11.0
User10,9,48,112,4.3
User10,10,32,85,3.4
User10,11,84,231,9.2
User10,12,83,243,9.7
User10,13,70,197,7.9
User10,14,46,120,4.8
User10,15,46,65,2.6
User10,16,91,102,4.1
User10,17,52,64,2.6
User10,18,112,222,8.9
User10,19,42,139,5.6
User10,20,56,139,5.6
User10,21,39,97,3.9
User10,22,41,94,3.8
User10,23,28,92,3.7
User11,0,2,14,0.5
User11,1,13,31,1.0
User11,2,18,27,0.9
User11,3,5,12,0.4
User11,4,4,17,0.5
User11,5,2,4,0.1
User11,6,8,44,1.4
User11,7,76,556,17.9
User11,8,49,698,22.5
User11,9,159,1417,45.7
User11,10,139,1356,43.7
User11,11,127,892,28.8
User11,12,137,1089,36.3
User11,13,55,274,9.1
User11,14,38,269,9.0
User11,15,62,516,17.2
User11,16,54,693,23.1
User11,17,95,829,27.6
User11,18,47,681,22.7
User11,19,103,757,25.2
User11,20,37,365,12.2
User11,21,26,116,3.9
User11,22,33,150,5.0
User11,23,20,82,2.7
User12,0,0,0,0.0
User12,1,0,0,0.0
User12,2,0,0,0.0
User12,3,0,0,0.0
User12,4,0,0,0.0
User12,5,1,2,0.1
User12,6,160,733,29.3
User12,7,116,1028,41.1
User12,8,174,2218,88.7
User12,9,87,1095,43.8
User12,10,87,718,28.7
User12,11,72,612,24.5
User12,12,90,534,21.4
User12,13,65,548,21.9
User12,14,46,326,13.0
User12,15,52,445,17.8
User12,16,58,533,21.3
User12,17,61,536,21.4
User12,18,45,400,16.0
User12,19,87,475,19.0
User12,20,35,244,9.8
User12,21,26,74,3.0
User12,22,38,43,1.7
User12,23,2,2,0.1
User13,0,24,68,2.2
User13,1,17,29,0.9
User13,2,1,2,0.1
User13,3,0,0,0.0
User13,4,0,0,0.0
User13,5,0,0,0.0
User13,6,4,24,0.8
User13,7,34,406,13.1
User13,8,75,243,7.8
User13,9,20,127,4.1
User13,10,73,208,6.7
User13,11,21,144,4.6
User13,12,103,465,15.0
User13,13,129,1601,53.4
User13,14,73,396,13.2
User13,15,78,328,10.9
User13,16,80,610,20.3
User13,17,166,2679,89.3
User13,18,92,1303,43.4
User13,19,83,459,15.3
User13,20,34,294,9.8
User13,21,34,221,7.4
User13,22,27,184,6.1
User13,23,54,151,5.0
User14,0,1,2,0.1
User14,1,0,0,0.0
User14,2,0,0,0.0
User14,3,0,0,0.0
User14,4,1,1,0.1
User14,5,0,0,0.0
User14,6,0,0,0.0
User14,7,19,20,1.1
User14,8,26,74,4.1
User14,9,26,85,4.7
User14,10,137,473,26.3
User14,11,149,681,37.8
User14,12,135,696,38.7
User14,13,74,303,16.8
User14,14,34,274,15.2
User14,15,76,182,10.1
User14,16,64,248,13.8
User14,17,36,209,11.6
User14,18,19,114,6.3
User14,19,15,102,5.7
User14,20,20,91,5.1
User14,21,15,95,5.3
User14,22,24,164,9.1
User14,23,13,111,6.5
User15,0,55,136,4.5
User15,1,8,14,0.5
User15,2,0,0,0.0
User15,3,0,0,0.0
User15,4,0,0,0.0
User15,5,0,0,0.0
User15,6,0,0,0.0
User15,7,8,8,0.3
User15,8,110,137,4.6
User15,9,32,139,4.6
User15,10,84,407,13.6
User15,11,63,433,14.4
User15,12,82,766,25.5
User15,13,84,869,29.0
User15,14,97,745,24.8
User15,15,178,946,31.5
User15,16,52,414,13.8
User15,17,39,275,9.2
User15,18,24,227,7.6
User15,19,43,352,11.7
User15,20,29,250,8.3
User15,21,22,181,6.0
User15,22,20,133,4.6
User15,23,18,124,4.3
User16,0,24,175,6.3
User16,1,38,137,4.9
User16,2,10,39,1.4
User16,3,4,6,0.2
User16,4,1,2,0.1
User16,5,1,1,0.0
User16,6,1,3,0.1
User16,7,4,9,0.3
User16,8,4,16,0.6
User16,9,30,104,3.7
User16,10,46,145,5.2
User16,11,33,228,8.1
User16,12,24,113,4.0
User16,13,84,173,6.2
User16,14,74,164,5.9
User16,15,48,223,8.0
User16,16,41,212,7.6
User16,17,47,283,10.1
User16,18,34,293,10.5
User16,19,46,239,8.5
User16,20,37,213,7.6
User16,21,20,86,3.1
User16,22,8,48,1.7
User16,23,14,68,2.4
User17,0,39,94,3.0
User17,1,22,36,1.2
User17,2,25,25,0.8
User17,3,3,3,0.1
User17,4,0,0,0.0
User17,5,0,0,0.0
User17,6,7,7,0.2
User17,7,5,8,0.3
User17,8,29,64,2.1
User17,9,36,125,4.0
User17,10,37,280,9.0
User17,11,36,365,12.2
User17,12,37,263,8.8
User17,13,41,214,7.1
User17,14,32,258,8.6
User17,15,31,258,8.6
User17,16,50,231,7.7
User17,17,35,219,7.3
