userName,DayOfWeek,MaxSteps,SumSteps,AvgSteps
User28,1,1772,31016,323.1
User28,2,927,13377,159.2
User28,3,1202,20678,215.4
User28,4,2448,22857,238.1
User28,5,1798,22295,232.2
User28,6,2175,35182,366.5
User28,7,1549,40268,419.5
User29,1,3258,31290,325.9
User29,2,1935,27586,310.0
User29,3,1014,17751,184.9
User29,4,1061,24900,259.4
User29,5,1189,19741,205.6
User29,6,1200,21855,227.7
User29,7,1937,20555,214.1
User30,1,7617,65011,677.2
User30,2,4983,52010,541.8
User30,3,6773,76968,641.4
User30,4,7643,70735,589.5
User30,5,5883,71470,643.9
User30,6,6834,57457,598.5
User30,7,7529,63812,664.7
User31,1,5661,20197,210.4
User31,2,3869,40481,421.7
User31,3,4168,52198,435.0
User31,4,3712,46151,384.6
User31,5,4741,46506,419.0
User31,6,4242,39853,415.1
User31,7,5112,24319,253.3
User32,1,9062,53333,555.6
User32,2,7278,49221,512.7
User32,3,9392,74488,620.7
User32,4,8741,98377,819.8
User32,5,8318,76965,693.4
User32,6,9769,62922,655.4
User32,7,10554,80317,836.6
User33,1,4871,40406,420.9
User33,2,4895,55106,574.0
User33,3,3119,69729,581.1
User33,4,5786,62394,533.3
User33,5,3897,47417,493.9
User33,6,5934,45789,477.0
User33,7,3696,53705,559.4
